,ngram,annotated hyponyms
228,mouth,n05302499
230,letter,n06625062
232,dog,n02090129 n02102605 n02113799 n02096437 n02095412 n02094931 n01322604 n02105251 n02088364 n02110185 n02108000 n02088466 n02101006 n02111129 n02086753 n02094433 n02095889 n02110958 n02097786 n02101556 n02086478 n02095314 n02086240 n02111277 n02099029 n02102318 n02089468 n02089725 n02113892 n02085272 n02108422 n02110627 n02102973 n02092468 n02112350 n02089078 n02100583 n02110341 n02098806 n02093991 n02113712 n02089232 n02096294 n02086646 n02092339 n02098105 n02107142 n02105412 n02098906 n02085019 n02104184 n02108915 n02086910 n02093647 n02089555 n02108672 n02109047 n02093859 n02097047 n02085118 n02092173 n02091467 n02090379 n02084732 n02105641 n02106854 n02095727 n02111626 n02106030 n02108089 n02097474 n02105855 n02088745 n02106166 n02090475 n02098413 n02097298 n02088992 n02097130 n02085782 n02100236 n02094721 n02103181 n02112497 n02102177 n02106550 n02087551 n02101388 n02112826 n02086079 n02108254 n02099267 n02109391 n02104365 n02113023 n02091244 n02096051 n02113186 n02107312 n02088632 n02098286 n02109687 n02112018 n02084071 n02089973 n02107683 n02094114 n02107574 n02093754 n02112137 n02102806 n02092002 n02099849 n02105056 n02106382 n02096756 n02100877 n02106662 n02089867 n02100735 n02109811 n02098550 n02088094 n02096177 n02105505 n02096585 n02090721 n02095050 n02093256 n02093056 n02109256 n02111500 n02091635 n02104029 n02094258 n02109150 n02105162 n02110063 n02108551 n02099429 n02086346 n02088238 n02087046 n02113335 n02110806 n02101670 n02113978 n02100399 n02093428 n02099997 n02109525 n02097209 n02085374 n02090622 n02099712 n02101861 n02102480 n02101108 n02099601 n02087122 n02104882 n02103841 n02097658 n02109961 n02112706 n02091134 n02090253 n02110532 n02088839 n02091831 n02113624 n02107420 n02085620 n02095570 n02104523 n02106966 n02091032 n02087394 n02111889 n02084861 n02095212 n02107908 n02102040 n02085936 n02103406 n02097967 n02104280 n02087314 n02094562 n02090827
234,pipe,n03533014 n03253714
235,axe,n03346289 n03977266 n03977430 n02764044 n02904109 n03226090 n03477773 n03077442 n03682380 n02903006 n03498962 n02811468 n03556679
237,hedgehog,n02348173 n02347573 n02347274 n02347744 n02346627 n02346998
238,lightbulb,n03665924
239,bomb,n03485309 n03012734 n02868546 n03643491 n04090781 n02961544 n02782432 n03909658 n02866578 n03140771 n03421768 n03821145 n03458271 n03054605 n02836900 n02868240 n03958338 n03565991 n03553248 n04245847 n04436832 n04246459 n02853870 n03255167 n02900857 n03433637 n03390327 n02753044 n03945817 n03205903 n04320598
240,text,n06625062
241,queen,n10499355 n10499631
242,chandelier,n03005285
243,radio,n04041544 n04044307
244,shoe,n04272389 n02938218 n04546081 n03090710 n03411079 n02882894 n04022332 n04593524 n04156411 n04133789 n03364008 n04124370 n02713364 n03680355 n03868406 n04120489 n03776877 n04239786 n04199027 n02904927 n02855701 n04027706 n04386664 n03364156 n04545748 n03297103 n04122578 n04570118 n03027625 n03547530 n02767147 n03472535 n03967270 n03041449 n03025250
245,bedroom,n03017070 n03727465 n02680638 n03788601 n02821627 n03465718 n03542860 n03091223 n03225108 n03836062 n03165466 n02878534
246,chicken,n01792429 n01792808 n01793159 n01791625 n01792530 n01793340 n01792158 n01793435 n01793085 n01792042 n01793565 n01793715 n01792640 n01793249 n01792955
247,ground,n09193551 n09282208 n09392402 n09442595 n09393605 n09382099 n08782627 n09445289 n09463226 n09439032 n09283767 n09319604 n09203827 n09411189
248,tire,n02971167 n04543636 n04040247
249,scorpion,n01770393
250,bush,n12668131 n12346813 n12669362 n12919403 n11741350 n12174926 n12903014 n12526516 n11800565 n13239177 n12659539 n12797860 n11833373 n12526754 n11740414 n12186352 n12342852 n11928352 n12187663 n12626674 n12175181 n12921315 n12922119 n12764202 n11760785 n12746884 n12918810 n12241880 n11797981 n12098827 n12489046 n12622297 n12380761 n12236768 n11924849 n12924623 n12097556 n12237641 n12180456 n13143758 n12902662 n12247407 n12329260 n11598287 n12705978 n11931540 n12244819 n12368257 n12538209 n12749456 n12504570 n12504783 n12310349 n12308447 n11798496 n11742310 n12760539 n12199266 n11929743 n12922763 n12519089 n12251740 n11765568 n12919646 n12253487 n12253664 n12869478 n12265083 n12186839 n12368028 n12627347 n11930038 n12921868 n12228689 n12181352 n12369066 n12666965 n12229651 n12918991 n12680864 n12764008 n12673588 n11835251 n12627526 n11797508 n11751765 n12227658 n12463134 n12215022 n12310021 n12512095 n12514592 n12903964 n12363768 n12679593 n12805146 n12928071 n12092930 n12672289 n12525168 n12747120 n12097396 n12677841 n11941094 n12620196 n12706410 n12238913 n12485653 n12498457 n12187891 n12240965 n12536291 n12483625 n12512294 n12534862 n12675515 n11598686 n12233249 n12229111 n12518481 n12680652 n12217453 n12397431 n12222493 n12232851 n12228387 n12215210 n12806015 n12220019 n12674685 n12244650 n11907689 n12185859 n12676370 n12374862 n11974373 n12237486 n12705458 n12905135 n12749049 n12601805 n12014355 n11741175 n11928858 n12254168 n12332555 n12624568 n12499163 n12929600 n12240477 n12246232 n12514992 n12350032 n12001294 n12749852 n11947251 n11698245 n12572759 n12762896 n12621410 n12680402 n12723062 n12374418 n12311045 n12009420 n12903367 n12315060 n12246941 n12245695 n11925898 n12534625 n12921499 n12517077 n11865574 n12626878 n11865429 n12173912 n12789977 n12178896 n12559044 n12248780 n12307240 n12949160 n11798688 n12913791 n12926689 n11774972 n12217851 n12679023 n12705013 n12550210 n12629305 n12375769 n12307756 n11771539 n11974888 n12315245 n12550408 n11874878 n12499757 n12620969 n13118707 n11741797 n12240150 n11769176 n12239240 n12918609 n12243109 n11701302 n11865276 n12631331 n12917901 n12235051 n12625823 n12521186 n12572546 n12897118 n11775626 n12242123 n12507823 n12484244 n12871272 n12681893 n12218490 n12789054 n12723610 n11768816 n12751675 n13118330 n12790430 n11776234 n12871859 n12245885 n11598886 n12315999 n12574866 n12929403 n12904938 n11997969 n11948264 n11948864 n12205460 n12482668 n11754893 n12482437 n12386945 n12204730 n12183816 n12681376 n12529905 n12602262 n11700864 n12231192 n12011620 n11947629 n12178129 n12869668 n12926480 n11698042 n12850336 n12870048 n12255225 n12636885 n12938193 n11865874 n12659356 n12252866 n12776774 n12369665 n12500751 n12238756 n11699442 n11699751 n12325787 n12171316 n12530629 n12306717 n11930571 n12216628 n12246773 n12567950 n12368451 n11697802 n12919847 n11778257 n12249122 n12861541 n12303083 n11931135 n11831521 n12646950 n12648424 n12367611 n12220829 n12308907 n12186554 n12248941 n12179632 n12899971 n12602434 n11751974 n12483282 n12346986 n12777892 n11897466 n12182276 n12302565 n12621945 n12621619 n12200504 n12625383 n11924445 n12218274 n12674895 n12661538 n12637123 n12899537 n12899752 n11948044 n12920043 n12632335 n12245319 n12237152 n12835766 n12183026 n12198793 n12901724 n12177129 n11706325 n12193665 n11774513 n12215579 n12678794 n12234669 n11996677 n12862828 n12199399 n12246037 n11938556 n11940006 n12382233 n11763142 n12764507 n13142182 n12315598 n11952346 n12493868 n12311413 n12236977 n12805561 n12851860 n12187247 n12349711 n12572858 n12236160 n11656771 n12546617 n12347158 n11940599 n12525513 n11999278 n12307076 n12871696 n11741575 n12378249 n12791329 n12483427 n12100187 n12927194 n11771746 n12253229 n12372233 n12176453 n12231709 n12515393 n12018760 n11826569 n12721122 n12777436 n12215824 n12705698 n11834890 n12919195 n12218868 n12760875 n12176709 n11775340 n11777080 n12239880 n12346578 n12310638 n12247202 n12667964 n11766189 n12899166 n11930353 n12938081 n12628356 n12628705 n12308112 n12175370 n12249294 n12679432 n11998492 n12516584 n12749679 n13143285 n12247963 n12786836 n12349315 n13141972 n12184912 n12244153 n11940750 n12791064 n12173069 n12173664 n12681579 n11701066 n12511856 n13142504 n12369845 n12184468 n12184095 n12750767 n12381511 n13141564 n12369309 n12324222 n12815198 n12174311 n12763529 n12172481 n12230794 n12545635 n12232114 n12098524 n12235479 n12518013 n11764814 n12885510 n12243693 n12241426 n12676534 n12546962 n11930203 n12230540 n12229887 n11652966 n12500518 n12182049 n12181612 n12923108 n12675876 n12552893 n12627119 n11778092 n12178780 n12623818 n12382875 n12677331 n11952541 n12789554 n12777778 n12777680 n13238988 n12922458 n12306938 n13141141 n12772753 n12676703 n12497669 n12328398 n12248141 n11976933 n12757115 n12674120 n12242850 n12579404 n12482893 n12174521 n12831535 n12651229 n12772908 n11827541 n11834654 n12489815 n12676134 n12625670 n12236546 n12562141 n12176953 n12099342 n12762049 n12239647 n12631932 n12631637 n12633061 n11940349 n12374705 n12920719 n12249542 n12234318 n12175598 n12226932 n12602612 n11742878 n12949361 n12905412 n12920521 n12248359 n12662379 n12248574 n11926365 n12311579 n12378753 n12019035 n12705220 n11930788 n12244458 n12805762 n12279060 n12671651 n12171098 n12902466 n11697560 n12861345 n12632733 n12928491 n11830906 n12499979 n12214789 n12530818 n12232280 n12928307 n12237855 n11930994 n12179122 n12369476 n12483841 n12228886 n12870225 n12920955 n12849952 n12183452 n12241192 n12396924 n12309277 n12670334 n12177455 n12223764 n12223569 n12900783 n12328567 n12311224 n12897999 n12677120 n12514138 n12545232 n11656549 n12516828 n12788854 n12812801 n12510774 n12343480 n11865071 n12850168 n12920204 n12216968 n12170585 n12216215 n11771924 n12014085 n12624381 n12328801 n12180168 n11974557 n12251001 n12773142 n12921660 n12675299 n12343753 n12531328 n12845908 n11798270 n12253835 n12903503 n11831297 n12228229 n12521394
251,circle,n13873502 n13874073
252,wool,n04599235
253,pumpkin,n07735510
255,cannon,n02950826
256,watch,n03909516 n04314107 n04555897 n03197337 n03973839 n04607869 n02708433 n03549350
257,bear,n02134084 n02132320 n02133161 n01322983 n02133400 n02132580 n02132788 n02133704 n02134418 n02131653 n02132466 n02132136
258,bean,n07727868 n07729225 n07729828 n07725158 n07728391 n07728585 n07729485 n07727741 n07728804 n07728053 n07728284 n07728181 n07724943 n07727252 n07727458 n07727140 n07727377 n07727048 n07729142 n07729000 n07729384 n07726796 n07729926 n07728708 n07727578
259,lighter,n03666591 n03728437 n03728982 n04126980 n03031422 n04126659 n04437670 n03182140
261,sea turtle,n01664990 n01664674 n01663782 n01665541 n01663401 n01664369 n01664065 n01664492
262,pretzel,n07695742 n07695878
263,wrist-watch,n04607869
264,microscope,n02711780 n03082280 n03667829 n02841506 n03484931 n03850053 n04506688 n03692522 n03279508 n03760671 n03332989
265,pickup truck,n03930630
267,husband,n10744078 n09982152 n09849990
268,art,n03835197 n03036149 n03442288 n04597309 n04306847 n03783304 n03846431 n04157320 n04485423 n03455802 n04155735 n03576443 n03170292 n03442487 n03032453 n03342127
270,lion,n02129463 n01322898 n02129165 n02129530
271,computer,n04175147 n03180011 n06359657 n04603399 n04541777 n02900987 n03082979 n03770224 n03711711 n03485407 n03170459 n04238763 n03528523 n06359193 n03985232 n03194170 n06359467 n03799240 n03832673 n03642806 n03918480 n03956785 n04358117 n03196324 n03890514 n03337494 n02708224
273,hammer,n02898173 n03966751 n03430313 n03481172 n02783035 n04383301 n02966942 n03715386 n02966545 n03731695
275,barn,n03123809 n04441662 n02793495
276,loudspeaker,n04292572 n03691459 n02917377 n04599124 n04349401 n04502670 n04390873
277,wire,n04594489 n03604843 n04402984 n04401828 n03044671 n03336575 n03898129 n03651605
279,teacup,n04397452
280,mug,n03063599 n03797390 n04443766 n02824058
282,tent,n04549028 n03997875 n02931294 n04212810 n04029416 n03652826 n03114743 n03334291 n04412416 n03792972 n04025508 n03900979 n03035252 n04411264 n02769963 n04507326 n03984125 n03374473 n02954163 n04498275 n02826812 n04504038
285,parent,n10333317 n10082043 n10332385 n10676434 n10405540 n10375402 n10300500 n10080869 n10654932 n10492086 n10654827 n09988063
286,Tree,n11693981 n12787364 n12321077 n11903333 n12726902 n13111881 n13111340 n12345280 n11758483 n12693352 n12305089 n12194147 n12281241 n12261359 n11710393 n11696450 n12401684 n12318782 n12708941 n12364604 n12635532 n12190869 n12714949 n12188635 n12716594 n12279772 n12373739 n13107807 n11749112 n11664418 n12568649 n12726357 n12731401 n12725940 n12667582 n12263588 n11628793 n12650229 n12222900 n12947313 n12585137 n12582231 n12640839 n12267411 n12658603 n12407715 n12522188 n12625003 n12400924 n12731029 n12304899 n11710658 n12155009 n12302248 n13107891 n12697152 n11620673 n12333530 n12635359 n12333771 n11649150 n12327846 n12664469 n12648196 n12332030 n11661372 n12493208 n11625632 n12366870 n12815668 n12643688 n12727301 n11706761 n12643313 n11620389 n12741586 n12200143 n12188289 n12274630 n12764978 n11616662 n12281974 n11710827 n12323665 n12336586 n12757458 n12266984 n11650160 n12306089 n12264512 n12634211 n12330891 n11619227 n12646605 n12732252 n12807409 n11632376 n12286988 n11652578 n12646072 n12758099 n11762927 n11756092 n11613219 n11763874 n11621547 n12289585 n11757190 n11758122 n11653904 n12280060 n13108323 n12754311 n12282933 n11655974 n11646517 n12583681 n11625003 n12709901 n11613867 n12317296 n12195391 n12736603 n12192877 n12407222 n12265394 n12306270 n12704513 n12757930 n11770256 n11650430 n12288823 n12283542 n12321669 n12273344 n11759404 n12704343 n12590499 n12406488 n12322699 n12277800 n11650759 n11622591 n12303462 n12663023 n12649539 n11745817 n11614250 n12304703 n12261571 n11632929 n12586499 n12722071 n12591351 n12596849 n11756329 n12269652 n12591017 n12399384 n12321873 n12270027 n12638964 n12633638 n11695974 n11694664 n12758176 n11622771 n12582846 n12189779 n12287836 n11618861 n12670758 n12586298 n12204032 n12316444 n12628986 n11711971 n12494794 n12647231 n11616486 n12333053 n12725738 n13108131 n11707827 n12589142 n11619687 n12707781 n12754468 n11709674 n12716400 n12718074 n12765115 n12265600 n12275317 n12670962 n11662585 n12814643 n12562785 n12399899 n12948053 n12270278 n12663804 n12758325 n12692160 n12402051 n11621727 n12513933 n12266217 n12583126 n12320010 n12225222 n12717072 n12318965 n11706942 n12596345 n11609475 n12527738 n11654984 n11634736 n11639084 n12320627 n12647893 n12634986 n12771390 n12406304 n11610823 n11650307 n12695975 n11612349 n12753007 n11611356 n12276110 n11626010 n11615607 n12695144 n12658715 n11704791 n12639910 n11660300 n12276314 n11636204 n12264786 n12650915 n12271933 n12732756 n12650038 n12551457 n12758399 n12275888 n12407545 n12729950 n12273939 n12733647 n11630489 n11623815 n12283147 n11711289 n12730776 n12638218 n12729729 n11613459 n12696492 n12496949 n12711398 n12635151 n11631619 n12643877 n11635433 n11609862 n12528974 n12731835 n13109733 n12741792 n12409231 n11621281 n12202936 n12594989 n11617878 n12203529 n12334891 n12698598 n12180885 n12190410 n12523850 n11663263 n11739978 n12724942 n12523141 n12528768 n12333961 n12528109 n12774641 n12710577 n12744850 n12407396 n11799331 n12744142 n12640435 n12492900 n12582665 n12287195 n12378963 n12531727 n12286068 n12340581 n11662128 n12286197 n12753573 n12263410 n12768369 n12765846 n11661909 n12643473 n12276477 n11757017 n11652039 n11617272 n12221522 n12727101 n12642964 n12565912 n11644226 n12642600 n11694866 n12636224 n12766043 n12337800 n12192132 n12370174 n12529220 n12591702 n12693244 n12713866 n12711817 n12509109 n12408466 n12718483 n12667406 n13108662 n12512674 n11647306 n11655592 n11654438 n12733428 n12728322 n12768809 n12277150 n12338796 n12658118 n12570703 n11658544 n12635744 n12285512 n12275131 n12728508 n11764478 n12365900 n12268246 n12806732 n12496427 n12225563 n12266528 n12573911 n12321395 n12740967 n12510343 n12634429 n11621950 n12337391 n12927758 n12267133 n12401335 n12641180 n11759224 n12644902 n12584191 n12640081 n11655152 n12300840 n11750508 n12225349 n12758250 n12651611 n12189987 n12279293 n12759668 n12553742 n12700357 n11610602 n12196694 n12587487 n12495895 n12732491 n11659248 n13108481 n12732009 n12662772 n12597466 n12718995 n12778398 n12331066 n12263204 n07754894 n12407079 n12639584 n11705573 n12734070 n12522894 n12745564 n12658308 n12283790 n12335664 n12563045 n12272239 n12732966 n12589687 n11612923 n11648039 n12199790 n13112035 n13112201 n12196129 n12203699 n12814960 n11613692 n12758014 n12699031 n12742290 n12650556 n12710415 n11648268 n11639306 n12570394 n12596148 n12711182 n12754174 n11635830 n11622368 n12759273 n11762018 n11625223 n12285900 n11610215 n11695285 n11746600 n12301180 n11710987 n11758276 n12261808 n11712282 n12331788 n13142907 n12403994 n11616852 n12646397 n12761905 n12269241 n12195734 n11658331 n12579822 n12732605 n12197359 n12406902 n12814857 n12570972 n12221801 n12491017 n12643113 n12927494 n12324558 n12726670 n12754981 n12755225 n12204175 n12403513 n11647703 n11757653 n12808007 n12336973 n11626585 n11652753 n12401893 n12755876 n12365158 n12338034 n12285705 n12589841 n12399534 n11626826 n12648693 n11710136 n12289310 n12646197 n12322501 n12203896 n12698027 n11708658 n12309630 n12365285 n12771890 n11621029 n12320806 n11633284 n12283395 n12305819 n12709103 n12305293 n12595964 n12775717 n12330587 n12274358 n11652217 n12761702 n12201580 n12318378 n12597134 n12733870 n12635955 n12335483 n12320414 n11645914 n11632619 n12596709 n12692024 n12753245 n12727729 n12818346 n12588320 n12336333 n11757851 n12340755 n12775070 n11659627 n12726528 n12775393 n12669803 n12406715 n12282235 n12319204 n11610047 n12754648 n11631985 n12649065 n12506341 n11761836 n12495670 n12713063 n12755387 n11649878 n12338655 n12409470 n11624192 n11626152 n12633994 n12267265 n12366675 n12752205 n12492460 n12408280 n12274863 n11695599 n11650558 n12405714 n12284262 n11611561 n11645163 n11653126 n11646955 n12710693 n12305475 n12692521 n12370549 n11662937 n12735160 n12271643 n12774299 n13240362 n11611087 n12506181 n12278371 n12729521 n12266644 n13108545 n11597657 n12262018 n12274151 n11612575 n12324388 n12334153 n12220496 n12336092 n12336224 n11624531 n11711537 n12595699 n12330239 n12715195 n12513613 n12663359 n12263038 n11628087 n12771597 n12771085 n12647560 n12648888 n12377198 n11631405 n11623967 n12926039 n12729315 n12565102 n12770892 n12729023 n12588780 n12659064 n12769065 n12331263 n12593122 n12339526 n12285369 n12373100 n12734215 n12641931 n11611758 n12491435 n12756457 n11644462 n12593994 n12594324 n12272735 n12322099 n12733218 n12589458 n12647376 n11749603 n11646694 n12700088 n12645174 n12925583 n12549799 n12200905 n12516165 n12754003 n12807251 n12554029 n11694300 n12664187 n11763625 n12523475 n12743823 n12639736 n12727518 n11756870 n13111174 n12569851 n12697514 n12324906 n12773651 n11702713 n12335800 n12769318 n12196954 n12634734 n11639445 n12338454 n11610437 n12755559 n12396091 n12768933 n11625391 n12708293 n12301613 n12201331 n11615967 n12409840 n11614420 n12269406 n11711764 n11696935 n12776558 n12223160 n12915568 n12277334 n12304286 n12916179 n12598027 n12629666 n12590600 n12714755 n11646344 n12195533 n12222090 n11618290 n12272883 n12638753 n12488709 n12730370 n11644046 n12194613 n12260799 n12277578 n12642200 n12285195 n12528549 n12728164 n11761202 n13108841 n11629047 n12221191 n12305986 n11609684 n12948495 n12563702 n12761284 n12597798 n12488454 n12551173 n12640607 n12278650 n12947756 n12762405 n11646167 n11628456 n11657585 n11758799 n11648776 n12364940 n11759609 n12641007 n12267534 n12363301 n12379531 n12409651 n12330469 n13144084 n12219668 n12753762 n13107694 n12337617 n12592544 n12270460 n12275489 n12751172 n12728864 n12498055 n11619455 n12403276 n12408873 n11617090 n11631854 n12327528 n12270946 n11772879 n12281788 n12745386 n11615387 n12721477 n12316572 n12196336 n12301766 n12758555 n12302071 n11695085 n12492106 n12710917 n12714254 n12272432 n11649359 n11653570 n11643835 n12501202 n12408717 n11614713 n11627512 n12639376 n12691661 n12242409 n12285049 n12279458 n12712320 n12583401 n11626409 n12646740 n12650379 n12649866 n12154773 n12402840 n12584715 n11611233 n12289433 n12639168 n12946849 n12337922 n12332218 n12408077 n11622184 n12399132 n12586989 n12403075 n11704093 n12338979 n12566331 n12276872 n12329473 n12336727 n11709205 n11709045 n12771192 n12585629 n11652376 n12489676 n12196527 n11627714 n12770529 n12713358 n13110915 n12275675 n12769219 n12645530 n12562577 n12568186 n11625804 n12728656 n11631159 n12278865 n11640132 n11629354 n12638556 n11618525 n12710295 n12201938 n12377494 n11694469 n12304115 n11662371 n12338146 n12399656 n11761650 n12305654 n12273515 n12340383 n12730544 n12641413 n12692714 n12522678 n12758471 n12916511 n11608250 n12948251 n12263987 n12807624 n12729164 n12271451 n12271187 n12299640 n12319414 n12698435 n12702124 n12651821 n12524188 n12559518 n12757816 n12495146 n12304420 n11658709 n11623105 n11630017 n12715914 n12337131 n11647868 n11644872 n12583855 n12584365 n12491826 n11705171 n12284821 n11615259 n11615026 n12580012 n11635152 n12337246 n12528382 n12587132 n12691428 n12273114 n12743352 n12282737 n12492682 n11612018 n12334293 n11714382 n12757303 n11616260 n12648045 n12400720 n11759853 n12402596 n12288005 n13103877 n12744387 n11619845 n11632167 n11618079 n12224978 n11756669 n12365462 n12690653 n11654293 n12221368 n12743976 n12947544 n12276628 n12286826 n12270741 n12725521 n11704620 n11614039 n12592058 n12642435 n12404729 n12402348 n12287642 n11627168 n12345899 n12708654 n12741222 n11707229 n12282527 n12586725 n12713521 n12755727 n12338258 n11656123 n12263738 n12649317 n12757668 n12189429 n12717644 n12818601 n12699922 n12331655 n12569037 n12366053 n12915811 n12325234 n12198286 n12765402 n11708857 n12658846 n12478768 n12775919 n11620016 n12262553 n12717224 n12640284 n12711596 n12709688 n11645590 n12730143 n11627908 n12335937 n12664005 n12662074 n11615812 n11703669 n12185254 n12262185 n12711984 n12727960 n12266796 n13104059 n12278107 n12590232 n12394328 n12199982 n12726159 n12663254 n12273768 n12400489 n12699301 n12698774 n11617631 n12754781 n12191240 n11841247 n12773917 n11762433 n12947895 n12587803 n12807773 n12709349 n12407890 n12490490
287,mailbox,n03710193
288,guitar,n02676566 n03272010 n03035832 n03499907 n02804123 n03467517 n04506289
289,aircraft,n02867715 n03215191 n02686568 n02692877 n03666917 n04308084 n03595860 n04308273 n04223066 n03140771 n03752922 n02690373 n03621694 n02842573 n04230487 n03174079 n04480527 n03490784 n03783873 n03365231 n04583620 n03373611 n03604311 n03857156 n04012084 n04552348 n04212467 n03809312 n02691156 n02863638 n02850950 n02794972 n02759387 n03596543 n03577672 n03245889 n02704645 n03510583 n03491032 n04308397 n03321419 n03439814 n04012482 n03512147 n02686121 n02965122 n04222723 n03798610 n02782093 n03541923 n04389999 n03335030 n04503499 n04160586 n04062644
290,key,n03613294 n03561047 n03645290 n04226826 n03896984
291,wheelbarrow,n02797295
292,comb,n03341035 n03150661 n03074855 n03973285
293,kitchen,n03145277 n03412220 n03412387 n03620353 n03619890
294,toothbrush,n04453156 n03274265
295,cow,n02403454 n02403740
296,country,n08896327
